api_key,total_requests,failed_requests,unique_ip_count,endpoint_variety,first_seen,last_seen,active_seconds,requests_per_min,fail_ratio,hour_of_access,risk_score,decision,true_type,anomaly_flag,anomaly_score
0211080f-1d53-4cda-b7d9-5d52cdf419a4,450,149,12,9,2026-02-11 12:21:17.271982,2026-02-11 13:11:42.271982,3025.0,8.925619834710744,0.3311111111111111,12,9,BLOCK,BOT,1,0.007916940585046828
0a9ad167-2422-4e25-9d16-4171bb845760,350,13,24,5,2026-02-11 12:19:21.271982,2026-02-11 14:18:09.271982,7128.0,2.9461279461279464,0.0371428571428571,12,4,MONITOR,NORMAL,1,0.07382221189307142
1239d745-2d6a-4212-9a98-437636e71ef8,350,11,24,5,2026-02-11 12:18:19.271982,2026-02-11 14:18:02.271982,7183.0,2.9235695391897534,0.0314285714285714,12,4,MONITOR,NORMAL,1,0.09692728103066056
1425f732-d3a6-48c8-9981-5f4d1fc2d92b,350,10,24,5,2026-02-11 12:18:19.271982,2026-02-11 14:18:16.271982,7197.0,2.917882451021258,0.0285714285714285,12,4,MONITOR,NORMAL,1,0.004301500642168388
18ca5649-0eff-4006-bca3-b8e7674ecafb,450,147,12,9,2026-02-11 12:31:18.271982,2026-02-11 13:13:42.271982,2544.0,10.61320754716981,0.3266666666666666,12,9,BLOCK,BOT,1,0.024768501584385705
1aec201c-f461-4f37-8365-543b9aca8bea,450,144,12,9,2026-02-11 12:42:17.271982,2026-02-11 13:17:42.271982,2125.0,12.705882352941178,0.32,12,9,BLOCK,BOT,1,0.009289219703570162
1fc04ec9-f27b-45e8-b3ae-f6871b2c15f5,450,154,12,9,2026-02-11 12:48:17.271982,2026-02-11 13:11:42.271982,1405.0,19.217081850533805,0.3422222222222222,12,9,BLOCK,BOT,-1,-0.0501516756881325
239109f9-8058-463a-9abd-6aac53094b65,450,161,12,9,2026-02-11 12:32:17.271982,2026-02-11 13:12:42.271982,2425.0,11.134020618556702,0.3577777777777777,12,9,BLOCK,BOT,1,0.020530643296730156
26c547a3-bc8b-4fe0-946b-e8f22a8ddf6b,350,17,24,5,2026-02-11 12:18:53.271982,2026-02-11 14:17:57.271982,7144.0,2.93952967525196,0.0485714285714285,12,4,MONITOR,NORMAL,1,0.10848794633097802
283ec67d-2a32-43b2-b557-041dea49dc55,450,159,12,9,2026-02-11 12:28:17.271982,2026-02-11 13:01:42.271982,2005.0,13.46633416458853,0.3533333333333333,12,9,BLOCK,BOT,1,0.0017979585070686532
2975c29e-e0ac-4ba3-8118-915876444660,350,12,24,5,2026-02-11 12:18:20.271982,2026-02-11 14:18:13.271982,7193.0,2.919505074377867,0.0342857142857142,12,4,MONITOR,NORMAL,1,0.06309773941136948
2d6d35e6-1d6c-4ad3-88c6-99c9f33fb6cb,350,16,24,5,2026-02-11 12:18:39.271982,2026-02-11 14:17:31.271982,7132.0,2.944475602916433,0.0457142857142857,12,4,MONITOR,NORMAL,1,0.10110610193801617
2fdaa25f-1b02-470b-a8c0-a8312b46d374,350,22,24,5,2026-02-11 12:18:41.271982,2026-02-11 14:17:52.271982,7151.0,2.9366522164732203,0.0628571428571428,12,4,MONITOR,NORMAL,-1,-0.02635674789553699
30116273-bcd6-447c-b99e-ed4a0179e029,350,18,24,5,2026-02-11 12:18:37.271982,2026-02-11 14:17:03.271982,7106.0,2.955249085280045,0.0514285714285714,12,4,MONITOR,NORMAL,1,0.010089950320471719
30cb2157-38aa-4508-ae67-bab4053a3d32,350,17,24,5,2026-02-11 12:18:28.271982,2026-02-11 14:17:39.271982,7151.0,2.9366522164732203,0.0485714285714285,12,4,MONITOR,NORMAL,1,0.11988923137487212
31fe92a6-2a8f-43e5-814c-23c374c13448,350,14,24,5,2026-02-11 12:18:19.271982,2026-02-11 14:18:15.271982,7196.0,2.9182879377431905,0.04,12,4,MONITOR,NORMAL,1,0.033181665578283226
